cdli_name,unicode_name
6(LAGAB~a),PROTO-CUNEIFORM NUMBER SIX-LAGAB-A
7(N01),PROTO-CUNEIFORM NUMBER SEVEN-N1
7(N01@f),PROTO-CUNEIFORM NUMBER SEVEN-N1 FLAT
7(N02),PROTO-CUNEIFORM NUMBER SEVEN-N2
7(N08),PROTO-CUNEIFORM NUMBER SEVEN-N8
7(N14),PROTO-CUNEIFORM NUMBER SEVEN-N14
7(N14@f),PROTO-CUNEIFORM NUMBER SEVEN-N14 FLAT
7(N18),PROTO-CUNEIFORM NUMBER SEVEN-N18
7(N19),PROTO-CUNEIFORM NUMBER SEVEN-N19
7(N19@f),PROTO-CUNEIFORM NUMBER SEVEN-N19 FLAT
7(N20),PROTO-CUNEIFORM NUMBER SEVEN-N20
7(N23),PROTO-CUNEIFORM NUMBER SEVEN-N23
7(N34),PROTO-CUNEIFORM NUMBER SEVEN-N34
7(N34@f),PROTO-CUNEIFORM NUMBER SEVEN-N34 FLAT
7(N36),PROTO-CUNEIFORM NUMBER SEVEN-N36
7(N45),PROTO-CUNEIFORM NUMBER SEVEN-N45
7(N45@f),PROTO-CUNEIFORM NUMBER SEVEN-N45 FLAT
7(N48),PROTO-CUNEIFORM NUMBER SEVEN-N48
7(N51),PROTO-CUNEIFORM NUMBER SEVEN-N51
7(N51@f),PROTO-CUNEIFORM NUMBER SEVEN-N51 FLAT
7(N57),PROTO-CUNEIFORM NUMBER SEVEN-N57
8(N01),PROTO-CUNEIFORM NUMBER EIGHT-N1
8(N01@f),PROTO-CUNEIFORM NUMBER EIGHT-N1 FLAT
8(N02),PROTO-CUNEIFORM NUMBER EIGHT-N2
8(N08),PROTO-CUNEIFORM NUMBER EIGHT-N8
8(N14),PROTO-CUNEIFORM NUMBER EIGHT-N14
8(N14@f),PROTO-CUNEIFORM NUMBER EIGHT-N14 FLAT
8(N18),PROTO-CUNEIFORM NUMBER EIGHT-N18
8(N19),PROTO-CUNEIFORM NUMBER EIGHT-N19
8(N19@f),PROTO-CUNEIFORM NUMBER EIGHT-N19 FLAT
8(N20),PROTO-CUNEIFORM NUMBER EIGHT-N20
8(N34),PROTO-CUNEIFORM NUMBER EIGHT-N34
8(N34@f),PROTO-CUNEIFORM NUMBER EIGHT-N34 FLAT
8(N36),PROTO-CUNEIFORM NUMBER EIGHT-N36
8(N45@f),PROTO-CUNEIFORM NUMBER EIGHT-N45 FLAT
8(N51),PROTO-CUNEIFORM NUMBER EIGHT-N51
8(N51@f),PROTO-CUNEIFORM NUMBER EIGHT-N51 FLAT
8(N57),PROTO-CUNEIFORM NUMBER EIGHT-N57
|8(N57).NI~b|,PROTO-CUNEIFORM SIGN EIGHT-N57 BESIDE NI-B
8(N58),PROTO-CUNEIFORM NUMBER EIGHT-N58
9(N01),PROTO-CUNEIFORM NUMBER NINE-N1
9(N01),PROTO-CUNEIFORM NUMBER NINE-N1 VARIANT 1
9(N01@f),PROTO-CUNEIFORM NUMBER NINE-N1 FLAT
9(N02),PROTO-CUNEIFORM NUMBER NINE-N2
9(N08),PROTO-CUNEIFORM NUMBER NINE-N8
9(N14),PROTO-CUNEIFORM NUMBER NINE-N14
9(N14@f),PROTO-CUNEIFORM NUMBER NINE-N14 FLAT
9(N18),PROTO-CUNEIFORM NUMBER NINE-N18
9(N18),PROTO-CUNEIFORM NUMBER NINE-N18 VARIANT 1
9(N19),PROTO-CUNEIFORM NUMBER NINE-N19
9(N19),PROTO-CUNEIFORM NUMBER NINE-N19 VARIANT 1
9(N19@f),PROTO-CUNEIFORM NUMBER NINE-N19 FLAT
9(N20),PROTO-CUNEIFORM NUMBER NINE-N20
9(N34),PROTO-CUNEIFORM NUMBER NINE-N34
9(N34@f),PROTO-CUNEIFORM NUMBER NINE-N34 FLAT
9(N36),PROTO-CUNEIFORM NUMBER NINE-N36
9(N45),PROTO-CUNEIFORM NUMBER NINE-N45
9(N45@f),PROTO-CUNEIFORM NUMBER NINE-N45 FLAT
9(N51@f),PROTO-CUNEIFORM NUMBER NINE-N51 FLAT
9(N57),PROTO-CUNEIFORM NUMBER NINE-N57
9(N58),PROTO-CUNEIFORM NUMBER NINE-N58
10(N01),PROTO-CUNEIFORM NUMBER TEN-N1
10(N14),PROTO-CUNEIFORM NUMBER TEN-N14
10(N14@f),PROTO-CUNEIFORM NUMBER TEN-N14 FLAT
10(N57),PROTO-CUNEIFORM NUMBER TEN-N57
10(N58),PROTO-CUNEIFORM NUMBER TEN-N58
12(N14),PROTO-CUNEIFORM NUMBER TWELVE-N14
12(N58),PROTO-CUNEIFORM NUMBER TWELVE-N58
|X(N57).GAR|,PROTO-CUNEIFORM SIGN X-N57 BESIDE GAR
A,PROTO-CUNEIFORM SIGN A
|Ax1(N14)|,PROTO-CUNEIFORM SIGN A TIMES ONE-N14
|AxAB2|,PROTO-CUNEIFORM SIGN A TIMES AB2
|AxAN|,PROTO-CUNEIFORM SIGN A TIMES AN
|AxEN~a|,PROTO-CUNEIFORM SIGN A TIMES EN-A
|AxSZUBUR|,PROTO-CUNEIFORM SIGN A TIMES SHUBUR
|AxZATU672|,PROTO-CUNEIFORM SIGN A TIMES ZATU672
A@t,PROTO-CUNEIFORM SIGN A TENU
A@g,PROTO-CUNEIFORM SIGN A GUNU
A2,PROTO-CUNEIFORM SIGN A2
AB~a,PROTO-CUNEIFORM SIGN AB-A
|AB~ax1(N01)|,PROTO-CUNEIFORM SIGN AB-A TIMES ONE-N1
|AB~axA@t|,PROTO-CUNEIFORM SIGN AB-A TIMES A TENU
AB~a,PROTO-CUNEIFORM SIGN AB-A VARIANT 1
|AB~axASZ2|,PROTO-CUNEIFORM SIGN AB-A TIMES ASH2
