	9(bur)		9(bur₃)
	abzu		abzu₂
	giri⁻		giri₁₆⁻
	udilia		udilia
	zizna		zizna
×BAD|	×BAD|
@sign	ZUBUR	@sign	ZUBUR
@sign	ZUM	@sign	ZUM
@sign	ZU	@sign	ZU₅
@sign	|(4×ZA)×KUR|	@sign	|(4×ZA)×KUR|
@sign	|(BU&BU)×NA|	@sign	|(BU&BU)×NA₂|
@sign	|(GUD×KUR)&(GUD×KUR)|	@sign	|(GUD×KUR₂)&(GUD×KUR₂)|
@sign	|(GUR&GUR)×AN|	@sign	|(GUR₇&GUR₇)×AN|
@sign	|(HI×AŠ)&(HI×AŠ)|	@sign	|(HI×AŠ)&(HI×AŠ)|
@sign	|(LAK079&LAK079)@g|	@sign	|(LAK079&LAK079)@g|
@sign	|(MUŠ&MUŠ)×GA|	@sign	|(MUŠ&MUŠ)×GA|
@sign	|(MUŠ&MUŠ)×KAK|	@sign	|(MUŠ&MUŠ)×KAK|
@sign	|(MUŠ&MUŠ)×NA|	@sign	|(MUŠ&MUŠ)×NA|
@sign	|(NUN&NUN)&(NUN&NUN)|	@sign	|(NUN&NUN)&(NUN&NUN)|
@sign	|3×AN|	@sign	|3×AN|
@sign	|4×(EZEN×KASKAL)|	@sign	|4×(EZEN×KASKAL)|
@sign	|4×(IDIM&IDIM)|	@sign	|4×(IDIM&IDIM)|
@sign	|4×EN|	@sign	|4×EN|
@sign	|4×GABA|	@sign	|4×GABA|
@sign	|4×IDIM|	@sign	|4×IDIM|
@sign	|4×IM|	@sign	|4×IM|
@sign	|4×LAGAB|	@sign	|4×LAGAB|
@sign	|4×LU|	@sign	|4×LU₂|
@sign	|4×NI|	@sign	|4×NI|
@sign	|4×TAB|	@sign	|4×TAB|
@sign	|A×A|	@sign	|A×A|
